Symbol,Company,Latest Close,52W High,% From 52W High
ABUK,Abou Kir Fertilizers,89.0,95.0,-6.315789473684211
ACTF,Act Financial,2.66,3.66,-27.322404371584696
ADIB,Abu Dhabi Islamic Bank- Egypt,39.4,44.970001220703125,-12.386037512800488
AFDI,El Ahli Investment and Development,33.92,39.08000183105469,-13.203688815987519
AFMC,Alexandria Flour Mills,59.48,83.80000305175781,-29.021482298439693
AIDC,Arabia for Investment and Development,0.465,0.541,-14.048059149722736
AIHC,Arabia Investments Holding,,,
ALCN,Alexandria Containers and goods,30.71,33.900001525878906,-9.4100335760861
AMER,Amer Group Holding,1.89,2.5399999618530273,-25.59055006358455
AMIA,Arab Moltaka Investments Co,5.3,5.690000057220459,-6.854130989428716
AMOC,Alexandria Mineral Oils Company,8.5,9.850000381469727,-13.705587098345795
ARAB,Arab Developers Holding,0.233,0.2840000092983246,-17.957749164984072
ARCC,Arabian Cement Company,49.38,60.400001525878906,-18.245035177949934
ASCM,ASEC Company For Mining - ASCOM,41.87,53.849998474121094,-22.246980155214622
ASPI,Aspire Capital Holding For Financial Investments,0.289,0.35199999809265137,-17.897726827847567
ATLC,Al Tawfeek Leasing Company-A.T.LEASE,4.87,5.679999828338623,-14.260560789058063
ATQA,Misr National Steel - Ataqa,8.8,12.380000114440918,-28.917609703936503
BIOC,Glaxo Smith Kline,60.26,81.5,-26.061349693251536
BTFH,Beltone Holding,2.88,3.7899999618530273,-24.0105533248635
CCAP,QALA For Financial Investments,3.62,4.269999980926514,-15.222482056908
CIEB,Credit Agricole Egypt,22.81,26.5,-13.924528301886795
CNFN,Contact Financial Holding,4.01,6.199999809265137,-35.322578655445305
COMI,Commercial International Bank-Egypt (CIB),125.0,145.00999450683594,-13.799045076091387
COSG,Cairo Oils & Soap,1.33,8.500000238418579,-84.35294161535876
CSAG,Canal Shipping Agencies,28.52,37.790000915527344,-24.530300849287464
DAPH,Development & Engineering Consultants,77.5,117.97000122070312,-34.30533254381356
DSCW,Dice Sport & Casual Wear,1.7,2.2266666094462075,-23.65269264881977
EAST,Eastern Company,37.5,49.9900016784668,-24.984999518107372
ECAP,El Ezz Porcelain (Gemma),26.01,37.0,-29.702702702702698
EFID,Edita Food Industries S.A.E,27.82,32.5,-14.399999999999999
EFIH,E-finance For Digital and Financial Investments,18.77,23.700000762939453,-20.801690313228484
EGAL,Egypt Aluminum,281.62,321.0,-12.267912772585667
EGCH,Egyptian Chemical Industries (Kima),11.64,13.970000267028809,-16.678598586200035
EGTS,Egyptian for Tourism Resorts,7.57,12.899999618530273,-41.317827722056414
EHDR,Egyptians Housing Development & Reconstruction,,10.874999761581421,
ELSH,El Shams Housing & Urbanization,7.13,9.539999961853027,-25.262054208487804
EMFD,Emaar Misr for Development,9.21,10.579999923706055,-12.948959674719529
ENGC,Engineering Industries (ICON),31.7,39.77000045776367,-20.291678061040336
ETEL,Telecom Egypt,82.65,112.9800033569336,-26.845461546954567
ETRS,Egyptian Transport (EGYTRANS),7.27,8.449999809265137,-13.964495099411808
EXPA,Export Development Bank of Egypt,16.37,17.8700008392334,-8.393960653544914
FWRY,Fawry For Banking Technology And Electronic Payment,17.67,21.56999969482422,-18.080666434872658
GBCO,GB Corp,24.8,33.400001525878906,-25.74850638619125
